,Stock,Sector
255,JANTS,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
256,KFEIN,TEKNOLOJİ / BİLİŞİM
257,KLKIM,İMALAT / TAŞ VE TOPRAĞA DAYALI
258,KLSER,İMALAT / TAŞ VE TOPRAĞA DAYALI
259,KAPLM,İMALAT / KAĞIT VE KAĞIT ÜRÜNLERİ BASIM
260,"KRDMA, KRDMB, KRDMD",İMALAT / ANA METAL SANAYİ
261,KAREL,TEKNOLOJİ / BİLİŞİM
262,KARSN,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
263,KRTEK,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
264,KARYE,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR
265,KARTN,İMALAT / KAĞIT VE KAĞIT ÜRÜNLERİ BASIM
266,KTLEV,MALİ KURULUŞLAR / FİNANSMAN ŞİRKETLERİ
267,KATMR,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
268,KAYSE,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
269,KENT,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
270,KERVT,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
271,KRVGD,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
272,KERVN,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
273,KZBGY,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
274,KLGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
275,KLRHO,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
276,KMPUR,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
277,KLMSN,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
278,KCAER,İMALAT / ANA METAL SANAYİ
279,KCHOL,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
280,KLSYN,İMALAT / ORMAN ÜRÜNLERİ VE MOBİLYA
281,KNFRT,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
282,KONTR,"MESLEKİ, BİLİMSEL VE TEKNİK FAALİYETLER / MİMARLIK VE MÜHENDİSLİK FAALİYETLERİ; TEKNİK MUAYENE VE ANALİZ"
283,KONYA,İMALAT / TAŞ VE TOPRAĞA DAYALI
284,KONKA,İMALAT / KAĞIT VE KAĞIT ÜRÜNLERİ BASIM
285,KGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
286,KORDS,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
287,KRPLS,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
288,KOZAL,MADENCİLİK VE TAŞ OCAKÇILIĞI / METAL CEVHERİ MADENCİLİĞİ
289,KOZAA,MADENCİLİK VE TAŞ OCAKÇILIĞI / METAL CEVHERİ MADENCİLİĞİ
290,KOPOL,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
291,KRGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
292,KRSTL,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
293,KRONT,TEKNOLOJİ / BİLİŞİM
294,KSTUR,OTELLER VE LOKANTALAR / KONAKLAMA
295,KUVVA,TOPTAN VE PERAKENDE TİCARET / TOPTAN TİCARET
296,KUYAS,İNŞAAT VE BAYINDIRLIK / İNŞAAT VE BAYINDIRLIK İŞLERİ
297,KUTPO,İMALAT / TAŞ VE TOPRAĞA DAYALI
298,KTSKR,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
299,LIDER,İDARİ VE DESTEK HİZMET FAALİYETLERİ / KİRALAMA VE LEASING FAALİYETLERİ
300,LIDFA,MALİ KURULUŞLAR / FİNANSAL KİRALAMA VE FAKTORİNG ŞİRKETLERİ
301,LINK,TEKNOLOJİ / BİLİŞİM
302,LOGO,TEKNOLOJİ / BİLİŞİM
303,LKMNH,"EĞİTİM, SAĞLIK, SPOR VE DİĞER SOSYAL HİZMETLER / İNSAN SAĞLIĞI VE SOSYAL HİZMETLER"
304,LUKSK,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
305,MACKO,"EĞİTİM, SAĞLIK, SPOR VE DİĞER SOSYAL HİZMETLER / SPOR EĞLENCE BOŞ ZAMANLARI DEĞERLENDİRME HİZMETLERİ"
306,MAKIM,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
307,MAKTK,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
308,MANAS,TEKNOLOJİ / BİLİŞİM
309,MAGEN,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR
310,MARKA,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
311,MAALT,OTELLER VE LOKANTALAR / KONAKLAMA
312,MRSHL,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
313,MRGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
314,MARTI,OTELLER VE LOKANTALAR / KONAKLAMA
315,MTRKS,TEKNOLOJİ / BİLİŞİM
316,MAVI,TOPTAN VE PERAKENDE TİCARET / PERAKENDE TİCARET
317,MZHLD,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
318,MEDTR,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
319,MEGAP,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
320,MNDRS,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
321,MEPET,TOPTAN VE PERAKENDE TİCARET / PERAKENDE TİCARET
322,MERCN,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
323,MERIT,OTELLER VE LOKANTALAR / KONAKLAMA
324,MERKO,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
325,METUR,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
326,METRO,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
327,MTRYO,MALİ KURULUŞLAR / MENKUL KIYMET YATIRIM ORTAKLIKLARI
328,MIATK,TEKNOLOJİ / BİLİŞİM
329,MGROS,TOPTAN VE PERAKENDE TİCARET / PERAKENDE TİCARET
330,MIPAZ,TOPTAN VE PERAKENDE TİCARET / PERAKENDE TİCARET
331,MSGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
332,MPARK,"EĞİTİM, SAĞLIK, SPOR VE DİĞER SOSYAL HİZMETLER / İNSAN SAĞLIĞI VE SOSYAL HİZMETLER"
333,MMCAS,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
334,MOBTL,TEKNOLOJİ / BİLİŞİM
335,MNDTR,İMALAT / KAĞIT VE KAĞIT ÜRÜNLERİ BASIM
336,EGEPO,"EĞİTİM, SAĞLIK, SPOR VE DİĞER SOSYAL HİZMETLER / İNSAN SAĞLIĞI VE SOSYAL HİZMETLER"
337,NATEN,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR
338,NTGAZ,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR
339,NTHOL,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
340,NETAS,TEKNOLOJİ / BİLİŞİM
341,NIBAS,İMALAT / TAŞ VE TOPRAĞA DAYALI
342,NUHCM,İMALAT / TAŞ VE TOPRAĞA DAYALI
343,NUGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
344,OBASE,TEKNOLOJİ / BİLİŞİM
345,ODAS,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR
346,ONCSM,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
347,ORCAY,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
348,ORGE,İNŞAAT VE BAYINDIRLIK / İNŞAAT VE BAYINDIRLIK İŞLERİ
349,ORMA,İMALAT / ORMAN ÜRÜNLERİ VE MOBİLYA
350,"OMD, OSMEN",MALİ KURULUŞLAR / ARACI KURUMLAR
351,OSTIM,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
352,OTKAR,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
353,OTTO,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
354,OYAKC,İMALAT / TAŞ VE TOPRAĞA DAYALI
355,"OYA, OYYAT",MALİ KURULUŞLAR / ARACI KURUMLAR
356,OYAYO,MALİ KURULUŞLAR / MENKUL KIYMET YATIRIM ORTAKLIKLARI
357,OYLUM,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
358,OZKGY,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
359,OZGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
360,OZRDN,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
361,OZSUB,"TARIM, ORMANCILIK VE BALIKÇILIK / BALIKÇILIK VE SU ÜRÜNLERİ"
362,PAMEL,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR
363,PNLSN,İMALAT / ANA METAL SANAYİ
364,PAGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
365,PAPIL,TEKNOLOJİ / BİLİŞİM
366,PRDGS,MALİ KURULUŞLAR / GİRİŞİM SERMAYESİ YATIRIM ORTAKLIKLARI
367,PRKME,MADENCİLİK VE TAŞ OCAKÇILIĞI / KÖMÜR VE LİNYİT MADENCİLİĞİ
368,PARSN,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
369,PASEU,ULAŞTIRMA VE DEPOLAMA / ULAŞTIRMA VE DEPOLAMA
370,PSGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
371,PCILT,"MESLEKİ, BİLİMSEL VE TEKNİK FAALİYETLER / REKLAMCILIK VE PAZAR ARAŞTIRMASI"
372,PGSUS,ULAŞTIRMA VE DEPOLAMA / ULAŞTIRMA VE DEPOLAMA
373,PEKGY,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
374,PENGD,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
375,PENTA,TEKNOLOJİ / BİLİŞİM
376,PEGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
377,PSDTC,TOPTAN VE PERAKENDE TİCARET / TOPTAN TİCARET
378,PETKM,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
379,PKENT,OTELLER VE LOKANTALAR / KONAKLAMA
380,PETUN,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
381,PINSU,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
382,PNSUT,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
383,PKART,TEKNOLOJİ / BİLİŞİM
384,PLTUR,İDARİ VE DESTEK HİZMET FAALİYETLERİ / KİRALAMA VE LEASING FAALİYETLERİ
385,POLHO,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
386,POLTK,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
387,PRZMA,İMALAT / KAĞIT VE KAĞIT ÜRÜNLERİ BASIM
388,QNBFL,MALİ KURULUŞLAR / FİNANSAL KİRALAMA VE FAKTORİNG ŞİRKETLERİ
389,"FIN, QNBFB",MALİ KURULUŞLAR / BANKALAR
390,QUAGR,İMALAT / TAŞ VE TOPRAĞA DAYALI
391,RNPOL,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
392,RALYH,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
393,RAYSG,MALİ KURULUŞLAR / SİGORTA ŞİRKETLERİ
394,RYGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
395,RYSAS,ULAŞTIRMA VE DEPOLAMA / ULAŞTIRMA VE DEPOLAMA
396,RODRG,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
397,ROYAL,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
398,RTALB,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
399,RUBNS,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
400,SAFKR,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
401,SANEL,İNŞAAT VE BAYINDIRLIK / İNŞAAT VE BAYINDIRLIK İŞLERİ
402,SNICA,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
403,SANFM,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
404,SANKO,TOPTAN VE PERAKENDE TİCARET / TOPTAN TİCARET
405,SAMAT,İMALAT / KAĞIT VE KAĞIT ÜRÜNLERİ BASIM
406,SARKY,İMALAT / ANA METAL SANAYİ
407,SASA,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
408,SAYAS,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
409,SDTTR,TEKNOLOJİ / SAVUNMA
410,SEKUR,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
411,SELEC,TOPTAN VE PERAKENDE TİCARET / TOPTAN TİCARET
412,SELGD,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
413,SELVA,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
414,SNKRN,İDARİ VE DESTEK HİZMET FAALİYETLERİ / GÜVENLİK VE SORUŞTURMA FAALİYETLERİ
415,SRVGY,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
416,SEYKM,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
417,SILVR,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
418,SNGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
419,SMRTG,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR
420,SMART,TEKNOLOJİ / BİLİŞİM
421,SODSN,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
422,SOKE,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
423,SKTAS,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
424,SONME,GAYRİMENKUL FAALİYETLERİ / GAYRİMENKUL FAALİYETLERİ
425,SNPAM,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
426,SUMAS,İMALAT / ORMAN ÜRÜNLERİ VE MOBİLYA
427,SUNTK,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
428,SUWEN,TOPTAN VE PERAKENDE TİCARET / PERAKENDE TİCARET
429,SEKFK,MALİ KURULUŞLAR / FİNANSAL KİRALAMA VE FAKTORİNG ŞİRKETLERİ
430,SEGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
431,"SEK, SKBNK",MALİ KURULUŞLAR / BANKALAR
432,SOKM,TOPTAN VE PERAKENDE TİCARET / PERAKENDE TİCARET
433,TNZTP,"EĞİTİM, SAĞLIK, SPOR VE DİĞER SOSYAL HİZMETLER / İNSAN SAĞLIĞI VE SOSYAL HİZMETLER"
434,TATGD,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
435,TAVHL,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
436,TEKTU,OTELLER VE LOKANTALAR / KONAKLAMA
437,TKFEN,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
438,TKNSA,TOPTAN VE PERAKENDE TİCARET / PERAKENDE TİCARET
439,TMPOL,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
440,"TERA, TRA",MALİ KURULUŞLAR / ARACI KURUMLAR
441,TETMT,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
442,TGSAS,TOPTAN VE PERAKENDE TİCARET / TOPTAN TİCARET
443,TOASO,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
444,TRGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
445,TLMAN,ULAŞTIRMA VE DEPOLAMA / ULAŞTIRMA VE DEPOLAMA
446,TSPOR,"EĞİTİM, SAĞLIK, SPOR VE DİĞER SOSYAL HİZMETLER / SPOR FAALİYETLERİ EĞLENCE VE OYUN FAALİYETLERİ"
447,TDGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
448,TSGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
449,TUCLK,İMALAT / ANA METAL SANAYİ
450,TUKAS,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
451,TRCAS,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
452,TUREX,ULAŞTIRMA VE DEPOLAMA / ULAŞTIRMA VE DEPOLAMA
453,TRILC,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
454,TCELL,BİLGİ VE İLETİŞİM / TELEKOMÜNİKASYON
455,TMSN,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
456,TUPRS,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
457,THYAO,ULAŞTIRMA VE DEPOLAMA / ULAŞTIRMA VE DEPOLAMA
458,PRKAB,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
459,TTKOM,BİLGİ VE İLETİŞİM / TELEKOMÜNİKASYON
460,TTRAK,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
461,TBORG,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
462,TURGG,İNŞAAT VE BAYINDIRLIK / İNŞAAT VE BAYINDIRLIK İŞLERİ
463,"GARAN, TGB",MALİ KURULUŞLAR / BANKALAR
464,"HALKB, THL",MALİ KURULUŞLAR / BANKALAR
465,"ISATR, ISBTR, ISCTR, ISKUR, TIB",MALİ KURULUŞLAR / BANKALAR
466,"KLN, KLNMA",MALİ KURULUŞLAR / BANKALAR
467,"TSK, TSKB",MALİ KURULUŞLAR / BANKALAR
468,TURSG,MALİ KURULUŞLAR / SİGORTA ŞİRKETLERİ
469,SISE,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
470,"TVB, VAKBN",MALİ KURULUŞLAR / BANKALAR
471,UFUK,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
472,ULAS,OTELLER VE LOKANTALAR / KONAKLAMA
473,ULUFA,MALİ KURULUŞLAR / FİNANSAL KİRALAMA VE FAKTORİNG ŞİRKETLERİ
474,ULUSE,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
475,ULUUN,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
476,UMPAS,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
477,USAK,İMALAT / TAŞ VE TOPRAĞA DAYALI
478,UZERB,TOPTAN VE PERAKENDE TİCARET / TOPTAN TİCARET
479,ULKER,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
480,UNLU,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
481,VAKFN,MALİ KURULUŞLAR / FİNANSAL KİRALAMA VE FAKTORİNG ŞİRKETLERİ
482,VKGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
483,VKFYO,MALİ KURULUŞLAR / MENKUL KIYMET YATIRIM ORTAKLIKLARI
484,VAKKO,TOPTAN VE PERAKENDE TİCARET / PERAKENDE TİCARET
485,VANGD,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
486,VBTYZ,TEKNOLOJİ / BİLİŞİM
487,VERUS,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
488,VERTU,MALİ KURULUŞLAR / GİRİŞİM SERMAYESİ YATIRIM ORTAKLIKLARI
489,VESBE,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
490,VESTL,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
491,VKING,İMALAT / KAĞIT VE KAĞIT ÜRÜNLERİ BASIM
492,"YKB, YKBNK",MALİ KURULUŞLAR / BANKALAR
493,YAPRK,"TARIM, ORMANCILIK VE BALIKÇILIK / TARIM VE HAYVANCILIK AVCILIK VE İLGİLİ HİZMET FAALİYETLERİ"
494,YATAS,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
495,YYLGD,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
496,YAYLA,İNŞAAT VE BAYINDIRLIK / İNŞAAT VE BAYINDIRLIK İŞLERİ
497,YGGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
498,YEOTK,"MESLEKİ, BİLİMSEL VE TEKNİK FAALİYETLER / MİMARLIK VE MÜHENDİSLİK FAALİYETLERİ; TEKNİK MUAYENE VE ANALİZ"
499,YGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
500,YYAPI,İNŞAAT VE BAYINDIRLIK / İNŞAAT VE BAYINDIRLIK İŞLERİ
501,YESIL,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
502,YBTAS,İMALAT / TAŞ VE TOPRAĞA DAYALI
503,YONGA,İMALAT / ORMAN ÜRÜNLERİ VE MOBİLYA
504,YKSLN,İMALAT / ANA METAL SANAYİ
505,YUNSA,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
506,ZEDUR,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR
507,ZRGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
508,ZOREN,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR
